STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
50,009,39775,01462134,5000939775,0600000US5000939775,Lewis,Lewis town,43,T9,G4040,I,100713120,332299,+44.8703006,-071.7370282
50,009,52750,01462165,5000952750,0600000US5000952750,Norton,Norton town,43,T1,G4040,A,99428306,1047358,+44.9772950,-071.8043380
50,009,75175,01462236,5000975175,0600000US5000975175,Victory,Victory town,43,T1,G4040,A,111250313,328518,+44.5587869,-071.8169167
50,009,76562,01462276,5000976562,0600000US5000976562,Warren's,Warren's gore,31,Z1,G4040,N,24532186,2159972,+44.9205220,-071.8602353
50,009,76337,01460374,5000976337,0600000US5000976337,Warner's,Warner's grant,32,Z1,G4040,N,8286161,0,+44.9209455,-071.9062969
50,015,23500,01462088,5001523500,0600000US5001523500,Eden,Eden town,43,T1,G4040,A,162970287,2552928,+44.7144313,-072.5394153
50,015,23725,01462089,5001523725,0600000US5001523725,Elmore,Elmore town,43,T1,G4040,A,100826320,1416251,+44.4880711,-072.5142868
50,015,37075,01462129,5001537075,0600000US5001537075,Johnson,Johnson town,43,T1,G4040,A,117378144,975830,+44.6481239,-072.6888397
50,015,70525,01462219,5001570525,0600000US5001570525,Stowe,Stowe town,43,T1,G4040,A,187660671,432400,+44.4918064,-072.7126105
50,015,77425,01462246,5001577425,0600000US5001577425,Waterville,Waterville town,43,T1,G4040,A,40622774,118129,+44.7379173,-072.7623223
50,013,00860,01462025,5001300860,0600000US5001300860,Alburgh,Alburgh town,43,T1,G4040,A,75373353,47562250,+44.9578823,-073.2919738
50,013,29275,01462107,5001329275,0600000US5001329275,Grand Isle,Grand Isle town,43,T1,G4040,A,42510685,48160415,+44.7162872,-073.2996266
50,013,35875,01462125,5001335875,0600000US5001335875,Isle La Motte,Isle La Motte town,43,T1,G4040,A,20421053,27261134,+44.8713248,-073.3491998
50,013,50650,01462164,5001350650,0600000US5001350650,North Hero,North Hero town,43,T1,G4040,A,34846768,84299391,+44.8350813,-073.2256575
50,013,67000,01462213,5001367000,0600000US5001367000,South Hero,South Hero town,43,T1,G4040,A,38630491,81671658,+44.6270923,-073.3092261
50,003,01450,01462027,5000301450,0600000US5000301450,Arlington,Arlington town,43,T1,G4040,A,108847991,491791,+43.0623448,-073.2223388
50,003,62875,01462201,5000362875,0600000US5000362875,Sandgate,Sandgate town,43,T1,G4040,A,109417261,171503,+43.1847019,-073.1803076
50,007,14875,01462073,5000714875,0600000US5000714875,Colchester,Colchester town,43,T1,G4040,A,94016198,62118204,+44.5541498,-073.2254870
50,007,62050,01462198,5000762050,0600000US5000762050,St. George,St. George town,43,T1,G4040,A,9505929,8797,+44.3763432,-073.1209850
50,019,81700,01462254,5001981700,0600000US5001981700,Westmore,Westmore town,43,T1,G4040,A,89218126,8105123,+44.7660317,-071.9971124
50,019,80200,01462250,5001980200,0600000US5001980200,Westfield,Westfield town,43,T1,G4040,A,103368989,273484,+44.8834766,-072.4849269
50,001,28600,01462104,5000128600,0600000US5000128600,Goshen,Goshen town,43,T1,G4040,A,53303535,419568,+43.8647474,-072.9901123
50,001,09025,01462053,5000109025,0600000US5000109025,Bristol,Bristol town,43,T1,G4040,A,105018080,1711027,+44.0982396,-073.0491819
50,019,36325,01462127,5001936325,0600000US5001936325,Jay,Jay town,43,T1,G4040,A,87840666,125582,+44.9569361,-072.5074566
50,019,03550,01462037,5001903550,0600000US5001903550,Barton,Barton town,43,T1,G4040,A,110681933,4208357,+44.7702278,-072.1497330
50,019,28075,01462103,5001928075,0600000US5001928075,Glover,Glover town,43,T1,G4040,A,97274448,2522919,+44.6787090,-072.2333825
50,019,00475,01462024,5001900475,0600000US5001900475,Albany,Albany town,43,T1,G4040,A,99830311,1135549,+44.7360043,-072.3359675
50,019,09850,01462056,5001909850,0600000US5001909850,Brownington,Brownington town,43,T1,G4040,A,72730870,722634,+44.8291789,-072.1276035
